row_number,query,expected_answer,source_document,page_number,category,citation,difficulty,tags,notes,status,query_length,answer_length
107,What are the specific filing requirements and deadlines for tax returns mentioned here?,This is in addition to any legal requirement you may have to file an income tax return with Puerto Rico.,IRS_Publication_17.pdf,10,Tax,"IRS Pub 17, Page 10",,,,valid,87,104
108,What tax guidelines or requirements are detailed concerning Tax Coun?,"The Tax Coun- seling for the Elderly (TCE) program offers free tax help for all taxpayers, particularly those who are 60 years of age and older.",IRS_Publication_17.pdf,12,Tax,"IRS Pub 17, Page 12",,,,valid,69,144
109,What tax guidelines or requirements are detailed concerning Reference Guide?,Form W-2 Reference Guide for Box 12 Codes A Uncollected social security or RRTA tax on tips B Uncollected Medicare tax on tips (but not Additional Medicare Tax) C Taxable cost of group-term life insur...,IRS_Publication_3.pdf,10,Tax,"IRS Pub 3, Page 10",,,,valid,76,203
110,What tax guidelines or requirements are detailed concerning Income Schedule?,"DUE by...1 Income tax 1040, or 1040-SR, and Schedule C2 15th day of 4th month after end of tax year.",IRS_Publication_334.pdf,11,Tax,"IRS Pub 334, Page 11",,,,valid,76,100
111,What tax guidelines or requirements are detailed concerning Paris?,"You can deduct the cost of your non-entertainment-re- lated meals (subject to the 50% limit), lodging, and other business-related travel expenses while in Paris.",IRS_Publication_463.pdf,11,Tax,"IRS Pub 463, Page 11",,,,valid,66,161
112,What tax guidelines or requirements are detailed concerning Dependents Form?,"If the child isn’t claimed as your de- pendent in the Dependents section on Form 1040 or 1040-SR, enter the child’s name in the entry space below the filing status checkboxes.",IRS_Publication_501.pdf,11,Tax,"IRS Pub 501, Page 11",,,,valid,76,175
113,What tax guidelines or requirements are detailed concerning The?,Caution: The cost of meals and lodging while attend- ing the conference isn’t deductible as a medical expense.,IRS_Publication_502.pdf,11,Tax,"IRS Pub 502, Page 11",,,,valid,64,110
114,What tax guidelines or requirements are detailed concerning Tax Credit?,Premium Tax Credit You can’t include in medical expenses the amount of health insurance premiums paid by or through the pre- mium tax credit.,IRS_Publication_502.pdf,12,Tax,"IRS Pub 502, Page 12",,,,valid,71,141
115,What tax guidelines or requirements are detailed concerning Payments Tax?,"Nonperiodic Payments Tax will be withheld at a flat 10% rate on any nonperiodic payments you receive, unless you choose a different withholding rate.",IRS_Publication_505.pdf,11,Tax,"IRS Pub 505, Page 11",,,,valid,73,149
116,What tax guidelines or requirements are detailed concerning Must Be?,"Tax Must Be an Income Tax (or Tax in Lieu of Income Tax) In most cases, only income, war profits, and excess profits taxes (income taxes) qualify for the foreign tax credit.",IRS_Publication_514.pdf,11,Tax,"IRS Pub 514, Page 11",,,,valid,68,173
117,What tax guidelines or requirements are detailed concerning January Rus?,"Ivan came to the United States for the first time on January 6, 2025, to attend a business meeting and returned to Rus- sia on January 10, 2025.",IRS_Publication_519.pdf,10,Tax,"IRS Pub 519, Page 10",,,,valid,72,144
118,What tax guidelines or requirements are detailed concerning Days Presence?,"When counting the days of presence in (1) and (2) above, do not count the days you were in the United States under any of the exceptions discussed earlier un- der Days of Presence in the United States.",IRS_Publication_519.pdf,11,Tax,"IRS Pub 519, Page 11",,,,valid,74,201
119,What tax guidelines or requirements are detailed concerning Filing Status?,"If you and your spouse are making this choice, check the box in the Filing Status section of the Form 1040 or 1040-SR and enter the name of the dual-status spouse(s) in the entry space, and attach a statement signed by both spouses to your joint return for the year of the choice.",IRS_Publication_519.pdf,12,Tax,"IRS Pub 519, Page 12",,,,valid,74,280
120,What tax guidelines or requirements are detailed concerning Any?,You can’t include: • Any costs of repairs or maintenance that are neces- sary to keep your home in good condition but don’t add to its value or prolong its life.,IRS_Publication_523.pdf,10,Tax,"IRS Pub 523, Page 10",,,,valid,64,161
121,What tax guidelines or requirements are detailed concerning Destroyed Condemned?,"Home Destroyed or Condemned You have a disposition when your home is destroyed or condemned and you receive other property or money in payment, such as insurance or a condemnation award.",IRS_Publication_523.pdf,11,Tax,"IRS Pub 523, Page 11",,,,valid,80,186
122,What tax guidelines or requirements are detailed concerning January Form?,"For options granted before January 1, 2014, any basis information reported to you on Form 1099-B may or may not reflect any amount you included in income upon grant or exercise; therefore, the basis may need to be adjusted.",IRS_Publication_525.pdf,12,Tax,"IRS Pub 525, Page 12",,,,valid,73,223
123,What tax guidelines or requirements are detailed concerning Interest Property?,"Partial Interest in Property Generally, you can’t deduct a contribution of less than your entire interest in property.",IRS_Publication_526.pdf,11,Tax,"IRS Pub 526, Page 11",,,,valid,78,118
124,What tax guidelines or requirements are detailed concerning Form Application?,"You can get this extension by filing Form 4868, Application for Automatic Extension of Time To File U.S.",IRS_Publication_526.pdf,12,Tax,"IRS Pub 526, Page 12",,,,valid,77,104
125,What tax guidelines or requirements are detailed concerning Methods Modified?,"Depreciation Methods Generally, you must use the Modified Accelerated Cost Recovery System (MACRS) to depreciate residential rental property placed in service after 1986.",IRS_Publication_527.pdf,10,Tax,"IRS Pub 527, Page 10",,,,valid,77,170
126,What tax guidelines or requirements are detailed concerning Depreciation Decreases?,"If you didn’t deduct enough or deducted too much in any year, see Depreciation under Decreases to Basis in Pub.",IRS_Publication_527.pdf,12,Tax,"IRS Pub 527, Page 12",,,,valid,83,111
127,What tax guidelines or requirements are detailed concerning Exception?,"If all the tests listed earlier under Exception are met, the buyer can deduct the points in the year paid.",IRS_Publication_530.pdf,10,Tax,"IRS Pub 530, Page 10",,,,valid,70,106
128,What tax guidelines or requirements are detailed concerning Interest Credit?,Mortgage Interest Credit The mortgage interest credit is intended to help lower-in- come individuals afford home ownership.,IRS_Publication_530.pdf,12,Tax,"IRS Pub 530, Page 12",,,,valid,76,123
129,What tax guidelines or requirements are detailed concerning The The?,The property (second disposition) under the following cir- cumstances. • The related person makes the second disposition be- fore making all payments on the first disposition. • The related person dis...,IRS_Publication_537.pdf,10,Tax,"IRS Pub 537, Page 10",,,,valid,68,203
130,What tax guidelines or requirements are detailed concerning Norman?,Pat and Norman must report their worldwide income for the year they make the choice and for all later years unless the choice is ended or sus- pended.,IRS_Publication_54.pdf,10,Tax,"IRS Pub 54, Page 10",,,,valid,67,150
131,What tax guidelines or requirements are detailed concerning Contributions?,Charitable Contributions A corporation can claim a limited deduction for charitable contributions made in cash or other property.,IRS_Publication_542.pdf,12,Tax,"IRS Pub 542, Page 12",,,,valid,74,129
132,What tax guidelines or requirements are detailed concerning Election Form?,"If you inherited property from someone who died in 2010 and the executor of the decedent’s estate made a Section 1022 Election using Form 8939, Allocation of Increase in Basis for Property Acquired From a Decedent, special rules regarding the basis would apply.",IRS_Publication_547.pdf,12,Tax,IRC § 1022,,,,valid,74,261
133,What tax guidelines or requirements are detailed concerning Series Series?,"If the bonds are Series EE or Series I bonds, the interest on the bonds is income to your child in the earlier of the year the bonds are cashed or dis- posed of or the year the bonds mature, unless your child chooses to report the interest income each year.",IRS_Publication_550.pdf,12,Tax,"IRS Pub 550, Page 12",,,,valid,74,257
134,What tax guidelines or requirements are detailed concerning April?,"However, your plan may require you to begin to receive payments by April 1 of the year that follows the year in which you reach age 73, even if you haven’t retired.",IRS_Publication_554.pdf,10,Tax,"IRS Pub 554, Page 10",,,,valid,66,164
135,What tax guidelines or requirements are detailed concerning Retirement Pay?,"Military Retirement Pay Military retirement pay based on age or length of service is taxable and must be included in income as a pension on Form 1040, 1040-SR, or 1040-NR, lines 5a and 5b.",IRS_Publication_554.pdf,11,Tax,"IRS Pub 554, Page 11",,,,valid,75,188
136,What tax guidelines or requirements are detailed concerning Withholding Estimated?,Tax Withholding and Estimated Tax You can choose to have federal income tax withheld from your social security and/or the SSEB portion of your tier 1 railroad retirement benefits.,IRS_Publication_554.pdf,12,Tax,"IRS Pub 554, Page 12",,,,valid,82,179
137,What tax guidelines or requirements are detailed concerning Return Versus?,"Joint Return Versus Separate Returns Ordinarily, filing a joint return will give you a greater tax ad- vantage than filing a separate return.",IRS_Publication_555.pdf,10,Tax,"IRS Pub 555, Page 10",,,,valid,74,141
138,What tax guidelines or requirements are detailed concerning Volunteer Income?,"The Volunteer Income Tax Assistance (VITA) program offers free tax help to people with low-to-moderate incomes, persons with disabilities, and limited-English-speaking taxpayers who ne",IRS_Publication_555.pdf,11,Tax,"IRS Pub 555, Page 11",,,,valid,77,184
139,What tax guidelines or requirements are detailed concerning English?,The IRS is committed to serving taxpayers with limited-English proficiency (LEP) by offering OPI services.,IRS_Publication_555.pdf,12,Tax,"IRS Pub 555, Page 12",,,,valid,68,106
140,What tax guidelines or requirements are detailed concerning Limit Contributions?,Deduction Limit for Contributions for Participants The most you can deduct for your contributions to your or your employee's SEP IRA is the lesser of the following amounts.,IRS_Publication_560.pdf,11,Tax,"IRS Pub 560, Page 11",,,,valid,80,172
141,What tax guidelines or requirements are detailed concerning Roth?,Your cost in these accounts is your designated Roth contributions that were included in your income as wages subject to applicable withholding requirements.,IRS_Publication_575.pdf,11,Tax,"IRS Pub 575, Page 11",,,,valid,65,156
142,How is the term 'sec- tion 179 deduction' defined or applied under the tax regulations?,"This deduction is known as the “sec- tion 179 deduction.” For more information about deprecia- tion and the section 179 deduction, see Pub.",IRS_Publication_583.pdf,10,Tax,IRC § 179,,,,valid,87,139
143,Under what conditions or guidelines should a taxpayer or entity use or apply table ii?,Use Table II if you are the IRA owner and your spouse is both your sole designated beneficiary and more than 10 years younger than you.,IRS_Publication_590b.pdf,12,Tax,"IRS Pub 590b, Page 12",,,,valid,86,135
144,What tax guidelines or requirements are detailed concerning Return Who?,Joint Return Who is not ﬁling a joint return for 2025 (or is ﬁling a joint return for 2025 only to claim a refund of income tax withheld or estimated tax paid) Who lived with you in the United States for more than half of 2025.,IRS_Publication_596.pdf,11,Tax,"IRS Pub 596, Page 11",,,,valid,71,227
145,What tax guidelines or requirements are detailed concerning Blake?,"Your 23-year-old sibling, Blake, who is a full-time student and unmarried, lives with you and your spouse.",IRS_Publication_596.pdf,12,Tax,"IRS Pub 596, Page 12",,,,valid,66,106
146,What tax guidelines or requirements are detailed concerning Activity Deductions?,"Passive Activity Deductions Generally, a deduction is a passive activity deduction for a tax year if and only if such deduction either: 1.",IRS_Publication_925.pdf,11,Tax,"IRS Pub 925, Page 11",,,,valid,80,138
147,What tax guidelines or requirements are detailed concerning American?,"Don’t claim the American opportunity credit for 2 years after there was a final determination that your claim was due to reckless or intentional dis- regard of the rules, or 10 years after there was a final de- termination that your claim was due to fraud.",IRS_Publication_970.pdf,10,Tax,"IRS Pub 970, Page 10",,,,valid,69,256
148,What tax guidelines or requirements are detailed concerning Ameri?,"If the Ameri- can opportunity credit has been claimed for this stu- dent for any 3 or fewer tax years before 2025, this re- quirement is met.",IRS_Publication_970.pdf,11,Tax,"IRS Pub 970, Page 11",,,,valid,66,141
149,What is the definition or context of the term 'SRA' outlined in this opinion?,"Before Congress enacted the Sentencing Reform Act of 1984 (“SRA”), federal judges had complete discre- tion over the criminal sentences defendants receive",Beauchamps_JOL63.2_PDF.pdf,5,Legal_opinion,"Legal Memorandum, Page 5",,,,valid,77,154
150,What policy or legal standard is discussed in relation to Harvard Journal?,"568 Harvard Journal on Legislation [Vol. 63 criminal sentencing regime riddled with arbitrary—and racially problematic— disparities, re4ecting the unfortunate reality that “the personality of a judge...",Beauchamps_JOL63.2_PDF.pdf,6,Legal_opinion,"Legal Memorandum, Page 6",,,,valid,74,202
151,What is the definition or context of the term 'heartland' outlined in this opinion?,"The Commission itself instructed courts “to treat each guideline as carving out a ‘heartland,’ a set of typical cases embodying the conduct that each guideline describe[d].”46 However, “[w]hen a court [found] an atypi- cal case .6.6.",Beauchamps_JOL63.2_PDF.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,83,233
152,What legal analyses or policy standards are detailed in this advisory opinion?,This constraint is based on the president’s epistemic disadvantage: the president simply does not know as much as prosecutors and line-level agency of6cials.,Ceballos_JOL63.2_PDF.pdf,5,Legal_opinion,"Legal Memorandum, Page 5",,,,valid,78,157
153,What policy or legal standard is discussed in relation to Supreme?,This more protective conception of mens rea would operate in two places: in the lower courts and the Supreme Court.,Ceballos_JOL63.2_PDF.pdf,6,Legal_opinion,"Legal Memorandum, Page 6",,,,valid,66,115
154,What policy or legal standard is discussed in relation to Institutional Design?,"Barkow, Institutional Design and the Policing of Pros- ecutors: Lessons from Administrative Law, 61 S$&%.",Ceballos_JOL63.2_PDF.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,79,105
155,What policy or legal standard is discussed in relation to Proposed Rule?,The Proposed Rule’s Amendments to Regulation S-X Are Not Operable and Will Not Result in Material Information for Investors ...........................................................................................,CRS_Report_01.pdf,5,Legal_opinion,"Legal Memorandum, Page 5",,,,valid,72,215
156,What policy or legal standard is discussed in relation to Commission Should?,"The Commission Should Adopt a Sequential, Layered Phase-in Schedule Based on the Degree of Preparation, Data, and External Resources Required for Compliance ..........",CRS_Report_01.pdf,6,Legal_opinion,"Legal Memorandum, Page 6",,,,valid,76,167
157,What policy or legal standard is discussed in relation to Threshold Issues?,7 I. Threshold Issues A. The Proposed Rule Exceeds the SEC’s Scope of Authority The Society agrees with those who have expressed the view that the SEC lacks the authority to promulgate the Proposed Ru...,CRS_Report_01.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,75,203
158,What policy or legal standard is discussed in relation to Over Sarah?,"Among the different private equity investment strategies, buyout funds alone hold over $2 trillion in assets under management worldwide.9 Over time, buyout funds have become a key 2 Sarah Bartlett, Is RJR Worth $25 Billion?",CRS_Report_02.pdf,5,Legal_opinion,"Legal Memorandum, Page 5",,,,valid,69,223
159,What policy or legal standard is discussed in relation to Americans?,"Yet, despite its large impact on Americans—its investors represent a large swath of the retirement savings of U.S.",CRS_Report_02.pdf,6,Legal_opinion,"Legal Memorandum, Page 6",,,,valid,68,114
160,What policy or legal standard is discussed in relation to Committee Banking?,"Senate Committee on Banking, Housing, and Urban Affairs Subcommittee on Economic Policy, Remarks from U.S.",CRS_Report_02.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,76,106
161,What is the definition or context of the term 'SEC' outlined in this opinion?,"DRAFT May 24, 2022 3 Introduction The Securities and Exchange Commission (“SEC”) has embarked on an endeavor to compel companies to disclose information about environmental, social, and governance (“ESG”) matters.",CRS_Report_03.pdf,6,Legal_opinion,"Legal Memorandum, Page 6",,,,valid,77,213
162,What policy or legal standard is discussed in relation to Amendment?,"It is true, of course, that fraud, like obscenity and incitement to violence, is a category of speech without constitutional protection.14 Thus, to the extent that the SEC regulates speech that would accomplish fraud, its regulations are unaffected by the First Amendment.",CRS_Report_03.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,68,272
163,What policy or legal standard is discussed in relation to Company Manufacturing?,"S7-10-22 5 Company, which does receive its power from a public utility, regarding the greenhouse gas emissions associated with the manufacture of the parts that Manufacturing Company provides to Computer Company.",CRS_Report_04.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,80,212
164,What policy or legal standard is discussed in relation to June Commission?,"Countryman June 16, 2022 Page 5 we appreciate the Commission’s effort to allow an accommodation here, its proposed approach is not workable.",CRS_Report_06.pdf,5,Legal_opinion,"Legal Memorandum, Page 5",,,,valid,74,140
165,What policy or legal standard is discussed in relation to June Form?,"Countryman June 16, 2022 Page 6 required information is better suited for disclosure outside the Form 10-K and Form 10-Q.",CRS_Report_06.pdf,6,Legal_opinion,"Legal Memorandum, Page 6",,,,valid,68,121
166,What policy or legal standard is discussed in relation to Commission Proposed?,"From investors the Commission cited in support of its proposal, to corporate governance professionals who will implement it, to auditors who will opine on the required disclosures, a broad range of key commenters agree that the Proposed Rules go too far.",CRS_Report_07.pdf,5,Legal_opinion,"Legal Memorandum, Page 5",,,,valid,78,254
167,What policy or legal standard is discussed in relation to Scope Commission?,"For instance, investors agree that, at least for now, disclosure of Scope 3 emissions data would be of limited use, and yet the Commission has proposed a Scope 3 disclosure requirement that would impose enormous burdens on public companies.",CRS_Report_07.pdf,6,Legal_opinion,"Legal Memorandum, Page 6",,,,valid,75,240
168,What is the definition or context of the term 'filed' outlined in this opinion?,Furnishing the information strikes the right balance; it provides information to investors without unnecessarily subjecting companies to the stricter liability associated with “ filed ” disclosures.,CRS_Report_07.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,79,198
169,What policy or legal standard is discussed in relation to Statutory Right?,"2026] A Statutory Right to Vote 417 restriction as unconstitutional.26 And lower federal courts have undermined Anderson-Burdick without formally repudiating it.27 In theory, Anderson-Burdick requires...",Mitchell_JOL63.2_PDF.pdf,5,Legal_opinion,"Legal Memorandum, Page 5",,,,valid,74,203
170,What policy or legal standard is discussed in relation to In Smith?,"Smith.45 In Smith, the Supreme Court held that neutral, generally applicable laws that incidentally burden the First Amendment right to free exercise are subject only to rational basis review.46 Congress thought strict scrutiny should apply instead.",Mitchell_JOL63.2_PDF.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,67,249
171,What policy or legal standard is discussed in relation to Official Opinions?,The Official Opinions of the Attorneys General of the United States comprise volumes 1–43 and include opinions of the Attorney General issued through 1982.,OLC_Opinion_036.pdf,5,Legal_opinion,"Legal Memorandum, Page 5",,,,valid,76,155
172,What policy or legal standard is discussed in relation to Opinion Attorney?,Vii Opinion of the Attorney General Contents Page Assertion of Executive Privilege Over Deliberative Materials Generated in Response to Congressional Investigation Into Operation Fast and Furious (Jun...,OLC_Opinion_036.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,75,203
173,What policy or legal standard is discussed in relation to Committee June?,"The Committee has scheduled a meeting for June 20, 2012, to vote on a resolution holding me in contempt of Congress for failing to comply with the subpoena.",OLC_Opinion_036.pdf,11,Legal_opinion,"Legal Memorandum, Page 11",,,,valid,73,156
174,What policy or legal standard is discussed in relation to Opinions Office?,Vii Opinions of the Office of Legal Counsel Contents Page Certification of Peace Corps Response Volunteers for Non- competitive Eligibility for Federal Employment Under Executive Order 11103 (January...,OLC_Opinion_037.pdf,7,Legal_opinion,"Legal Memorandum, Page 7",,,,valid,74,202
175,What policy or legal standard is discussed in relation to Executive Branch?,These certificates provide volunteers with one year of noncompetitive eligibility for civil service appointments in the Executive Branch.,OLC_Opinion_037.pdf,11,Legal_opinion,"Legal Memorandum, Page 11",,,,valid,75,137
176,What policy or legal standard is discussed in relation to Prosecution Contempt?,"The inquiry indi- cates that you have reviewed a 1984 OLC opinion entitled Prosecution for Contempt of Congress of an Executive Branch Official Who Has Asserted a Claim of Executive Privilege, 8 Op.",OLC_Opinion_038.pdf,11,Legal_opinion,"Legal Memorandum, Page 11",,,,valid,79,198
177,What policy or legal standard is discussed in relation to Opinion Attorneys?,"Turning to this question, the 1984 Opinion concluded that the statute does not require United States Attorneys to refer contempt of Congress citations to a grand jury, for four main reasons.",OLC_Opinion_038.pdf,12,Legal_opinion,"Legal Memorandum, Page 12",,,,valid,76,190
178,What policy or legal standard is discussed in relation to Board Board?,"Each of the Board’s members is entitled to “equal re- sponsibility and authority in establishing decisions and determining ac- tions of the Board”; “full access to all information relating to the perfor- mance of the Board’s functions, powers, and mission”; and one vote.",OLC_Opinion_039.pdf,11,Legal_opinion,"Legal Memorandum, Page 11",,,,valid,70,271
179,What policy or legal standard is discussed in relation to The Board?,"Paragraph (2), 1 The Board member and OGC set forth their views in a series of memoranda submit- ted to the Chairman.",OLC_Opinion_039.pdf,12,Legal_opinion,"Legal Memorandum, Page 12",,,,valid,68,117
180,What policy or legal standard is discussed in relation to See Josh?,"Surveying numerous oversight tools available to congressional minorities 16 See, e.g., Josh Chafetz, The Chadha Presidency, 115 G.'.",Rapallo_JOL63.2_PDF.pdf,6,Legal_opinion,"Legal Memorandum, Page 6",,,,valid,67,132
